Rk,Total,All P,SP,RP,Non-P,C,1B,2B,3B,SS,LF,CF,RF,OF (All),DH,PH
1,Los Angeles Dodgers21.3,LAD15.5,CIN14.2,NYY5.3,TBR16.5,TBR2.9,OAK3.5,TOR4.0,CLE3.5,HOU4.9,STL3.8,BAL3.2,WSN4.5,STL7.0,LAA2.2,TBR0.9
2,San Francisco Giants20.6,NYY13.9,LAD12.8,SFG4.0,HOU15.6,WSN2.2,TOR3.2,TBR2.3,ATL3.4,SDP4.6,TBR1.6,CHW2.8,HOU3.9,HOU6.5,TOR1.3,SFG0.5
3,Toronto Blue Jays19.2,CIN12.7,CHW10.3,BOS3.1,TOR13.2,KCR2.0,STL3.2,MIN2.3,SDP2.9,SFG4.1,HOU1.4,STL2.8,PHI3.2,TBR6.0,NYY1.2,HOU0.1
4,Houston Astros16.5,CHW12.4,MIL10.1,LAD2.7,STL12.5,SFG1.5,ATL2.5,HOU2.2,CHW1.9,TOR4.0,TOR1.2,TBR2.6,TEX2.5,WSN3.6,MIN1.1,MIN-0.2
5,Chicago White Sox16.2,SFG11.5,NYY8.6,CHW2.1,SFG9.1,LAD1.3,SFG1.9,LAD1.9,STL1.8,TBR3.5,OAK0.7,PIT2.5,ATL2.3,OAK1.8,BOS1.0,SDP-0.3
6,Tampa Bay Rays14.1,MIL8.8,SFG7.8,CLE1.5,WSN8.0,CHC0.9,NYM1.6,SDP1.7,TBR1.7,WSN2.8,LAD0.4,MIN2.4,NYY1.9,BAL1.7,HOU0.9,WSN-0.4
7,Boston Red Sox9.8,ATL8.2,PHI7.2,TBR1.3,SDP6.8,ARI0.7,HOU1.6,PHI1.3,DET1.3,CHW2.8,DET0.3,OAK2.1,TBR1.8,PHI1.4,CLE0.4,BOS-0.5
8,Milwaukee Brewers9.1,BOS6.8,ATL7.1,ATL1.2,LAD5.8,DET0.5,WSN1.0,MIL1.2,MIN1.1,BOS2.7,WSN0.2,MIA1.4,MIA0.9,TOR1.4,SDP0.1,CLE-0.6
9,Atlanta Braves8.3,TOR6.0,TOR6.6,KCR0.5,MIN4.2,MIL0.5,LAD1.0,CIN1.2,BOS1.0,LAD2.6,KCR0.1,SDP1.3,MIL0.9,SFG1.1,WSN0.1,MIL-0.6
10,New York Yankees7.3,PHI5.3,HOU4.7,SEA0.2,CHW3.8,CHW0.4,COL1.0,ATL1.1,OAK1.0,MIL2.4,CIN-0.1,HOU1.2,CIN0.6,MIA0.9,CIN0.1,CHW-0.6
11,Oakland Athletics5.1,OAK2.4,OAK3.9,TOR-0.3,BOS3.0,OAK0.4,CIN0.9,KCR1.1,LAD1.0,KCR2.2,COL-0.4,SFG1.1,TOR0.6,BOS0.6,COL0.1,COL-0.6
12,Cincinnati Reds4.9,CLE2.2,BOS3.7,CIN-1.0,OAK2.7,MIN0.2,CHC0.8,BOS0.7,HOU0.7,COL2.1,BAL-0.4,NYM1.0,SFG0.5,MIL0.3,STL0.1,TOR-0.6
13,St. Louis Cardinals4.7,LAA1.3,DET3.1,NYM-1.0,COL0.6,PIT0.2,CHW0.7,WSN0.5,CHC0.6,NYM1.6,SFG-0.5,BOS0.8,STL0.4,MIN0.2,SEA0.0,KCR-0.7
14,San Diego Padres2.0,HOU0.9,MIA2.9,MIL-1.1,MIL0.3,TOR0.1,TEX0.1,STL0.4,COL0.6,TEX1.5,MIL-0.5,KCR0.7,BOS0.3,CHW0.0,PHI0.0,OAK-0.7
15,Philadelphia Phillies0.8,NYM0.5,LAA2.6,OAK-1.7,ATL0.1,PHI0.0,MIA-0.1,NYM0.4,SFG0.4,STL1.5,BOS-0.5,CHC0.5,SEA0.3,SDP-0.1,SFG0.0,SEA-0.7
16,New York Mets-1.4,DET0.4,CLE0.7,PHI-1.8,CHC-0.3,COL-0.5,PHI-0.1,COL0.3,NYM0.0,SEA1.5,CHC-0.9,CLE0.4,LAD0.0,NYY-0.6,NYM0.0,TEX-0.8
17,Cleveland Indians-1.5,MIA0.0,NYM0.6,MIA-1.9,NYM-1.9,STL-0.5,SEA-0.2,PIT0.2,TOR-0.2,CHC1.0,CLE-1.0,MIL-0.1,SDP-0.3,TEX-0.6,MIL0.0,NYY-0.8
18,Colorado Rockies-3.1,SEA-0.4,COL-0.1,LAA-1.9,CLE-3.7,CIN-0.7,LAA-0.5,SEA-0.3,SEA-0.3,MIA0.8,SDP-1.1,LAA-0.2,MIN-0.5,LAD-1.0,MIA0.0,BAL-0.9
19,Seattle Mariners-6.1,TBR-2.4,ARI-0.6,SDP-2.1,TEX-4.0,BOS-0.7,TBR-0.6,TEX-0.3,TEX-0.5,MIN0.6,PHI-1.1,NYY-0.4,CHC-0.7,CHC-1.1,LAD0.0,DET-1.0
20,Miami Marlins-6.3,KCR-3.2,SEA-0.6,DET-2.8,PHI-4.5,NYY-1.1,SDP-0.7,SFG-0.4,PIT-0.5,CLE0.0,CHW-1.3,TEX-0.4,DET-0.9,ATL-1.3,CHC0.0,LAA-1.0
21,Washington Nationals-7.6,COL-3.7,SDP-2.6,PIT-3.3,KCR-5.6,SEA-1.3,MIN-1.1,OAK-0.5,MIL-0.7,ATL-0.4,ARI-1.4,TOR-0.4,CLE-1.0,CLE-1.6,ARI0.0,LAD-1.0
22,Kansas City Royals-8.8,SDP-4.8,KCR-3.3,HOU-3.6,SEA-5.7,LAA-1.3,DET-1.2,LAA-0.9,ARI-0.9,ARI-1.0,PIT-1.4,PHI-0.7,OAK-1.0,CIN-1.9,PIT-0.1,STL-1.0
23,Detroit Tigers-8.8,STL-7.8,STL-3.4,COL-3.6,MIA-6.3,HOU-1.3,BAL-1.4,NYY-1.0,NYY-1.1,NYY-1.2,MIA-1.4,ARI-0.8,COL-1.0,DET-2.2,TBR-0.2,CHC-1.1
24,Minnesota Twins-10.2,ARI-9.0,TBR-3.7,CHC-4.0,NYY-6.6,SDP-1.4,ARI-1.7,CHW-1.1,MIA-1.3,CIN-1.3,MIN-1.7,COL-1.0,BAL-1.1,NYM-2.3,ATL-0.3,NYM-1.3
25,Los Angeles Angels-11.1,PIT-10.4,BAL-4.3,STL-4.7,CIN-7.8,BAL-1.7,BOS-1.8,MIA-1.3,WSN-1.8,OAK-1.4,SEA-1.7,WSN-1.1,NYM-1.3,COL-2.4,CHW-0.3,ATL-1.5
26,Chicago Cubs-13.7,BAL-12.5,WSN-5.3,MIN-5.1,DET-9.2,TEX-1.7,CLE-1.9,CLE-1.3,LAA-2.2,BAL-1.4,ATL-1.9,LAD-1.4,CHW-1.5,PIT-2.5,OAK-1.4,PHI-1.7
27,Texas Rangers-17.8,CHC-13.4,PIT-6.2,TEX-6.0,PIT-9.9,NYM-1.9,NYY-2.0,CHC-1.4,PHI-2.9,PIT-1.8,NYM-2.0,DET-1.6,LAA-2.2,KCR-2.5,BAL-1.4,MIA-2.0
28,Pittsburgh Pirates-20.3,TEX-13.8,TEX-7.8,BAL-8.0,ARI-11.7,CLE-2.2,MIL-2.8,ARI-1.7,BAL-3.0,DET-2.4,NYY-2.1,ATL-1.7,ARI-2.4,SEA-4.4,KCR-1.7,PIT-2.5
29,Arizona Diamondbacks-20.7,MIN-14.4,CHC-8.7,ARI-9.0,BAL-11.9,MIA-3.3,PIT-2.9,DET-2.2,KCR-3.0,PHI-2.5,TEX-2.7,CIN-2.4,KCR-3.3,ARI-4.6,TEX-1.7,CIN-2.5
30,Baltimore Orioles-24.4,WSN-15.6,MIN-9.0,WSN-10.1,LAA-12.4,ATL-3.4,KCR-3.0,BAL-3.8,CIN-3.6,LAA-3.1,LAA-3.2,SEA-3.0,PIT-3.6,LAA-5.6,DET-2.0,ARI-2.5
AVG,-0.1,-0.1,1.7,-1.7,0,-0.3,0,0.2,0,1,-0.6,0.4,0.1,-0.1,0,-0.9